Epoch	LR	Train Loss	Recons Loss	KLD Loss	
475.000000	0.000085	0.438151	0.159510	0.278641	
476.000000	0.000084	0.449825	0.158744	0.291082	
477.000000	0.000084	0.426013	0.159417	0.266596	
478.000000	0.000083	0.470228	0.159905	0.310323	
479.000000	0.000082	0.421726	0.160197	0.261530	
480.000000	0.000081	0.448504	0.159571	0.288933	
481.000000	0.000080	0.471262	0.159049	0.312213	
482.000000	0.000080	0.436289	0.160015	0.276274	
483.000000	0.000079	0.465752	0.159527	0.306225	
484.000000	0.000078	0.433865	0.159618	0.274247	
485.000000	0.000077	0.446592	0.160210	0.286382	
486.000000	0.000076	0.450419	0.159258	0.291162	
487.000000	0.000076	0.447371	0.159254	0.288117	
488.000000	0.000075	0.423226	0.159576	0.263650	
489.000000	0.000074	0.446919	0.159281	0.287638	
490.000000	0.000073	0.441044	0.159753	0.281291	
491.000000	0.000073	0.449254	0.159141	0.290112	
492.000000	0.000072	0.449075	0.161030	0.288044	
493.000000	0.000071	0.470837	0.160288	0.310549	
494.000000	0.000070	0.422640	0.158834	0.263805	
495.000000	0.000070	0.454804	0.159099	0.295705	
496.000000	0.000069	0.447384	0.159266	0.288118	
497.000000	0.000068	0.432105	0.159905	0.272200	
498.000000	0.000068	0.442961	0.159506	0.283455	
499.000000	0.000067	0.444303	0.158421	0.285882	
500.000000	0.000066	0.437602	0.158973	0.278628	
